data,num1,num2,num3,num4,num5,num6,bonus
2019-02-22,5,8,14,16,34,39,23
2019-02-25,9,12,27,28,38,44,10
2019-02-28,20,24,27,39,43,48,8
2019-03-04,1,6,7,16,39,40,12
2019-03-07,1,2,13,29,41,43,34
2019-03-11,6,23,26,27,34,49,32
2019-03-14,2,4,17,21,25,46,44
2019-03-18,2,5,8,17,43,47,25
2019-03-21,2,5,12,13,15,31,36
2109-03-25,6,13,23,26,34,37,15
2019-03-28,2,15,20,26,29,44,43
2019-04-01,7,12,22,30,31,36,2
2019-04-04,4,17,20,21,33,39,27
2019-04-08,9,19,20,24,28,49,36
2019-04-11,5,12,13,17,29,47,4
2019-04-15,8,19,25,34,35,47,30
2019-04-18,6,15,28,33,45,47,43
2019-04-22,12,13,19,23,24,44,14
2019-04-25,1,7,14,15,32,38,39
2019-04-29,4,10,26,31,39,48,19
2019-05-02,10,15,24,35,42,47,11
2019-05-06,5,6,13,26,32,41,18
2019-05-09,5,10,11,18,26,49,4
2019-05-13,2,3,19,21,23,31,1
2019-05-16,5,7,9,15,38,45,29
2019-05-20,7,18,24,46,47,48,10
2019-05-23,12,20,22,31,32,46,38
2019-05-27,5,9,17,21,22,32,34
2019-05-30,4,12,21,30,31,44,3
2019-06-03,3,4,12,19,27,30,31
2019-06-06,21,24,28,31,32,38,4
2019-06-10,10,11,15,17,19,46,4
2019-06-13,1,3,10,14,22,39,24
2019-06-17,6,20,29,36,40,43,10
2019-06-20,8,19,25,26,29,34,7
2019-06-24,8,17,25,32,41,48,21
2019-06-27,1,4,25,36,41,47,26
2019-07-01,5,7,27,30,38,48,15
2019-07-04,7,9,21,34,36,45,27
2019-07-08,9,11,22,23,24,29,49
2019-07-11,6,12,28,43,45,47,16
2019-07-15,4,15,30,35,36,43,24
2019-07-18,14,20,25,28,31,42,9
2019-07-22,7,23,30,34,43,47,2
2019-07-25,4,5,29,30,31,33,41
2019-07-29,4,10,24,32,37,44,31
2019-08-01,3,8,22,30,31,48,42
2019-08-05,4,15,16,20,21,26,18
2019-08-08,1,4,5,22,27,34,41
2019-08-12,33,34,36,37,44,49,16
2019-08-15,3,11,27,29,40,42,1
2019-08-19,2,6,19,20,26,45,30
2019-08-22,1,14,25,28,29,38,31
2019-08-26,7,18,23,40,44,48,35
2019-08-29,6,22,33,40,45,47,49
2019-09-02,1,5,18,20,33,44,48
2019-09-05,17,18,27,42,47,48,37
2019-09-09,10,19,25,36,44,49,27
2019-09-12,7,10,30,33,44,45,46
2019-09-16,9,17,29,32,36,40,30
2019-09-19,14,22,24,31,45,47,29
2019-09-23,9,10,25,29,41,44,43
2019-09-26,9,19,30,34,35,46,49
2019-09-30,10,13,16,38,42,47,11
2019-10-03,1,12,24,45,46,48,29
2019-10-07,12,13,26,36,41,46,5
2019-10-10,4,18,26,32,34,45,33
2019-10-14,4,5,14,25,26,45,29
2019-10-17,2,35,37,42,43,47,44
2019-10-21,5,13,28,38,47,48,40
2019-10-24,14,24,25,29,43,44,7
2019-10-28,5,19,20,27,34,36,24
2019-11-04,13,30,33,36,44,47,14
2019-11-07,3,8,9,38,41,44,34
2019-11-11,5,26,28,30,34,46,42
2019-11-14,3,20,29,30,39,41,6
2019-11-18,2,9,16,21,36,49,31
2019-11-21,1,16,17,20,21,30,29
2019-11-25,1,4,16,18,30,32,37
2019-11-28,3,6,16,35,38,46,23
2019-12-02,6,30,34,45,46,48,32
2019-12-05,1,14,15,25,34,35,36
2019-12-09,2,9,14,26,30,47,34
2019-12-12,21,22,27,30,39,44,46
2019-12-16,2,22,29,33,36,45,20
2019-12-19,4,10,22,23,40,42,7
2019-12-23,19,21,27,36,40,44,2
2019-12-26,1,15,35,41,42,43,28
2019-12-30,8,16,20,24,25,36,13
2020-01-03,3,12,13,35,36,40,33
2020-01-06,13,15,21,23,30,35,25
2020-01-09,2,7,11,15,26,47,33
2020-01-13,12,24,34,38,46,47,28
2020-01-17,2,3,4,13,16,33,14
2020-01-20,1,11,24,28,45,48,23
2020-01-23,11,18,20,22,27,37,39
2020-01-27,9,14,36,38,40,47,30
2020-01-30,3,32,38,43,46,48,34
2020-02-03,7,20,29,41,47,49,28
2020-02-03,6,9,23,34,42,49,22
