Column2,Column3,Column4,Column5,Column6,Column7,Column8
2009-10-31,17,20,24,30,49,50
2009-11-01,1,5,18,23,50,51
2009-11-03,5,9,13,15,48,55
2009-11-04,9,28,36,41,47,50
2009-11-07,17,19,24,27,33,38
2009-11-08,17,22,30,32,38,54
2009-11-11,2,18,25,32,37,54
2009-11-14,6,13,21,38,41,45
2009-11-15,1,2,32,36,45,51
2009-11-17,6,10,31,40,44,54
2009-11-18,11,23,32,41,45,55
2009-11-21,12,15,18,24,27,43
2009-11-22,3,7,23,29,38,54
2009-11-25,4,18,28,35,43,51
2009-11-28,6,16,25,32,34,45
2009-11-29,6,10,15,22,28,37
2009-12-02,2,20,32,34,50,53
2009-12-05,23,28,30,34,37,42
2009-12-06,16,32,35,36,37,41
2009-12-08,3,14,37,38,40,53
2009-12-09,8,10,23,26,30,51
2009-12-12,1,15,20,37,45,47
2009-12-13,7,15,26,30,42,54
2009-12-15,5,8,27,41,48,49
2009-12-16,29,31,41,43,51,53
2009-12-19,7,8,20,25,42,43
2009-12-20,11,22,32,36,42,47
2009-12-23,11,21,23,31,34,39
2009-12-26,35,37,41,45,49,53
2009-12-27,10,14,20,22,23,37
2009-12-30,5,11,18,23,31,51
2010-01-02,10,15,22,27,30,55
2010-01-03,7,11,14,23,37,52
2010-01-06,12,16,22,26,40,45
2010-01-09,18,19,21,23,27,42
2010-01-10,4,6,9,12,30,36
2010-01-13,21,27,30,31,37,41
2010-01-16,5,25,27,28,43,44
2010-01-17,4,7,17,19,40,53
2010-01-20,11,31,32,35,37,41
2010-01-23,23,24,33,37,46,53
2010-01-24,10,17,23,29,42,53
2010-01-26,1,4,5,22,30,41
2010-01-27,13,20,25,33,45,54
2010-01-30,10,14,19,26,42,53
2010-01-31,4,17,28,29,31,44
2010-02-02,1,3,11,38,41,50
2010-02-03,9,12,21,29,35,41
2010-02-06,5,6,19,27,47,50
2010-02-07,18,26,35,42,52,53
2010-02-10,16,26,29,30,45,50
2010-02-13,1,2,11,21,27,33
2010-02-14,5,28,31,34,38,50
2010-02-16,5,11,23,46,47,54
2010-02-17,24,31,42,44,45,50
2010-02-20,14,29,30,41,44,45
